"date_time","temperature"
2018-09-18 01:00:00,7.592
2018-09-18 02:00:00,7.986
2018-09-18 03:00:00,8.975
2018-09-18 04:00:00,10.527
2018-09-18 05:00:00,12.031
2018-09-18 06:00:00,13.283
2018-09-18 07:00:00,14.259
2018-09-18 08:00:00,14.664
2018-09-18 09:00:00,14.353
2018-09-18 10:00:00,13.764
2018-09-18 11:00:00,13.024
2018-09-18 12:00:00,12.089
2018-09-18 13:00:00,11.177
2018-09-18 14:00:00,10.398
2018-09-18 15:00:00,9.751
2018-09-18 16:00:00,9.238
2018-09-18 17:00:00,8.84
2018-09-18 18:00:00,8.536
2018-09-18 19:00:00,8.293
2018-09-18 20:00:00,8.095
2018-09-18 21:00:00,7.964
2018-09-18 22:00:00,7.789
2018-09-18 23:00:00,7.615
2018-09-19 00:00:00,7.518
2018-09-19 01:00:00,7.761
2018-09-19 02:00:00,8.241
2018-09-19 03:00:00,9.188
2018-09-19 04:00:00,10.73
2018-09-19 05:00:00,12.215
2018-09-19 06:00:00,12.797
2018-09-19 07:00:00,12.812
2018-09-19 08:00:00,12.134
2018-09-19 09:00:00,10.848
2018-09-19 10:00:00,8.954
2018-09-19 11:00:00,8.795
2018-09-19 12:00:00,8.603
2018-09-19 13:00:00,8.422
2018-09-19 14:00:00,8.31
2018-09-19 15:00:00,8.187
2018-09-19 16:00:00,8.056
2018-09-19 17:00:00,7.889
2018-09-19 18:00:00,7.668
2018-09-19 19:00:00,7.477
2018-09-19 20:00:00,7.323
2018-09-19 21:00:00,7.173
2018-09-19 22:00:00,7.066
2018-09-19 23:00:00,6.976
2018-09-20 00:00:00,6.9
2018-09-20 01:00:00,6.958
2018-09-20 02:00:00,7.178
2018-09-20 03:00:00,7.602
2018-09-20 04:00:00,8.521
2018-09-20 05:00:00,9.417
2018-09-20 06:00:00,10.163
2018-09-20 07:00:00,10.781
2018-09-20 08:00:00,10.857
2018-09-20 09:00:00,10.438
2018-09-20 10:00:00,9.745
2018-09-20 11:00:00,8.938
2018-09-20 12:00:00,8.131
2018-09-20 13:00:00,7.455
2018-09-20 14:00:00,6.908
2018-09-20 15:00:00,6.423
2018-09-20 16:00:00,5.934
2018-09-20 17:00:00,5.473
2018-09-20 18:00:00,5.084
2018-09-20 19:00:00,4.764
2018-09-20 20:00:00,4.493
2018-09-20 21:00:00,4.278
2018-09-20 22:00:00,4.06
2018-09-20 23:00:00,3.899
2018-09-21 00:00:00,3.8
2018-09-21 01:00:00,3.879
2018-09-21 02:00:00,4.169
2018-09-21 03:00:00,5.142
